,precision,recall,f1-score,support
blues,1.0,0.6,0.75,10.0
classical,0.9090909090909091,1.0,0.9523809523809523,10.0
country,0.6153846153846154,0.8,0.6956521739130435,10.0
disco,0.9,0.9,0.9,10.0
hiphop,1.0,0.7,0.8235294117647058,10.0
jazz,0.8333333333333334,1.0,0.9090909090909091,10.0
metal,0.8333333333333334,1.0,0.9090909090909091,10.0
pop,0.6363636363636364,0.7,0.6666666666666666,10.0
reggae,0.7777777777777778,0.7,0.7368421052631579,10.0
rock,0.4444444444444444,0.4,0.42105263157894735,10.0
accuracy,0.78,0.78,0.78,0.78
macro avg,0.7949728049728051,0.78,0.7764305759749291,100.0
weighted avg,0.7949728049728049,0.78,0.7764305759749291,100.0
