,precision,recall,f1-score,support
blues,0.6153846153846154,0.8,0.6956521739130435,10.0
classical,0.8333333333333334,1.0,0.9090909090909091,10.0
country,0.5294117647058824,0.9,0.6666666666666666,10.0
disco,0.8,0.8,0.8,10.0
hiphop,1.0,0.6,0.75,10.0
jazz,0.875,0.7,0.7777777777777778,10.0
metal,0.9090909090909091,1.0,0.9523809523809523,10.0
pop,0.8181818181818182,0.9,0.8571428571428571,10.0
reggae,0.8333333333333334,0.5,0.625,10.0
rock,0.6666666666666666,0.4,0.5,10.0
accuracy,0.76,0.76,0.76,0.76
macro avg,0.7880402440696559,0.76,0.7533711336972206,100.0
weighted avg,0.7880402440696558,0.76,0.7533711336972206,100.0
