,precision,recall,f1-score,support
blues,0.8571428571428571,0.6,0.7058823529411765,10.0
classical,0.8333333333333334,1.0,0.9090909090909091,10.0
country,0.7777777777777778,0.7,0.7368421052631579,10.0
disco,0.8333333333333334,1.0,0.9090909090909091,10.0
hiphop,0.9,0.9,0.9,10.0
jazz,0.7692307692307693,1.0,0.8695652173913043,10.0
metal,0.8181818181818182,0.9,0.8571428571428571,10.0
pop,0.75,0.6,0.6666666666666666,10.0
reggae,0.7777777777777778,0.7,0.7368421052631579,10.0
rock,0.5555555555555556,0.5,0.5263157894736842,10.0
accuracy,0.79,0.79,0.79,0.79
macro avg,0.7872333222333222,0.7899999999999999,0.7817438912323822,100.0
weighted avg,0.7872333222333221,0.79,0.7817438912323822,100.0
